scenario	bin_index	bin_label	expected_state	null_probability	informative_mass	del_informative_mass	non_del_informative_mass	old_event_probability_used_for_qual	new_informative_support_used_for_qual	old_expected_state_qual	new_expected_state_qual
clean_haploid_del	0	body_A-B	DEL	0.0	1.0	0.9	0.09999999999999998	0.9	0.9	9.54242509439325	9.54242509439325
clean_haploid_del	1	body_B-C	DEL	0.0	1.0	0.9	0.09999999999999998	0.9	0.9	9.54242509439325	9.54242509439325
clean_haploid_del	2	left_flank	non-DEL	0.0	1.0	0.1	0.9	0.1	0.1	9.542425094393248	9.542425094393248
clean_haploid_del	3	right_flank	non-DEL	0.0	1.0	0.1	0.9	0.1	0.1	9.542425094393248	9.542425094393248
body_null_only	0	body_A-B	DEL	0.9	0.09999999999999998	0.08999999999999998	0.009999999999999995	0.54	0.9	0.6963592814139448	9.54242509439325
body_null_only	1	body_B-C	DEL	0.9	0.09999999999999998	0.08999999999999998	0.009999999999999995	0.54	0.9	0.6963592814139448	9.54242509439325
body_null_only	2	left_flank	non-DEL	0.0	1.0	0.1	0.9	0.1	0.1	9.542425094393248	9.542425094393248
body_null_only	3	right_flank	non-DEL	0.0	1.0	0.1	0.9	0.1	0.1	9.542425094393248	9.542425094393248
body_and_flank_null	0	body_A-B	DEL	0.9	0.09999999999999998	0.08999999999999998	0.009999999999999995	0.54	0.9	0.6963592814139448	9.54242509439325
body_and_flank_null	1	body_B-C	DEL	0.9	0.09999999999999998	0.08999999999999998	0.009999999999999995	0.54	0.9	0.6963592814139448	9.54242509439325
body_and_flank_null	2	left_flank	non-DEL	0.9	0.09999999999999998	0.009999999999999998	0.08999999999999998	0.46	0.1	0.6963592814139448	9.542425094393248
body_and_flank_null	3	right_flank	non-DEL	0.9	0.09999999999999998	0.009999999999999998	0.08999999999999998	0.46	0.1	0.6963592814139448	9.542425094393248
