chr	start_GRCh38	end_GRCh38	GD_ID	svtype	NAHR	terminal	cluster	size	BP1	BP2
chr10	48181660	49845537	GD_10q11.22-q11.23-CD_DEL_chr10_48181660_49845537	DEL	yes	no	10q11.2	1663877	C	D
chr10	48181660	49845537	GD_10q11.22-q11.23-CD_DUP_chr10_48181660_49845537	DUP	yes	no	10q11.2	1663877	C	D
chr10	48181660	50651802	GD_10q11.22-q11.23-CE_DEL_chr10_48181660_50651802	DEL	yes	no	10q11.2	2470142	C	E
chr10	48181660	50651802	GD_10q11.22-q11.23-CE_DUP_chr10_48181660_50651802	DUP	yes	no	10q11.2	2470142	C	E
chr10	46005406	49845537	GD_10q11.22-q11.23-AD_DEL_chr10_46005406_49845537	DEL	yes	no	10q11.2	3840131	A	D
chr10	46005406	49845537	GD_10q11.22-q11.23-AD_DUP_chr10_46005406_49845537	DUP	yes	no	10q11.2	3840131	A	D
chr15	22782170	23040134	GD_15q11.2-BP1-2_DEL_chr15_22782170_23040134	DEL	yes	no	15q11-13	257964	1	2
chr15	22782170	23040134	GD_15q11.2-BP1-2_DUP_chr15_22782170_23040134	DUP	yes	no	15q11-13	257964	1	2
chr15	31727418	32153204	GD_15q13.3-D-CHRNA7-BP5_DEL_chr15_31727418_32153204	DEL	yes	no	15q11-13	425786	CHRNA7	5
chr15	31727418	32153204	GD_15q13.3-D-CHRNA7-BP5_DUP_chr15_31727418_32153204	DUP	yes	no	15q11-13	425786	CHRNA7	5
chr15	28916886	30076787	GD_15q13.1-q13.2-BP3-4_DEL_chr15_28916886_30076787	DEL	yes	no	15q11-13	1159901	3	4
chr15	28916886	30076787	GD_15q13.1-q13.2-BP3-4_DUP_chr15_28916886_30076787	DUP	yes	no	15q11-13	1159901	3	4
chr15	30900686	32153204	GD_15q13.3-BP4-5_DEL_chr15_30900686_32153204	DEL	yes	no	15q11-13	1252518	4	5
chr15	30900686	32153204	GD_15q13.3-BP4-5_DUP_chr15_30900686_32153204	DUP	yes	no	15q11-13	1252518	4	5
chr15	32607508	34378801	GD_15q13.3-q14-BP5-6_DEL_chr15_32607508_34378801	DEL	yes	no	15q11-13	1771293	5	6
chr15	32607508	34378801	GD_15q13.3-q14-BP5-6_DUP_chr15_32607508_34378801	DUP	yes	no	15q11-13	1771293	5	6
chr15	28916886	32153204	GD_15q13.1-q13.3-BP3-5_DEL_chr15_28916886_32153204	DEL	yes	no	15q11-13	3236318	3	5
chr15	28916886	32153204	GD_15q13.1-q13.3-BP3-5_DUP_chr15_28916886_32153204	DUP	yes	no	15q11-13	3236318	3	5
chr15	23465365	28134728	GD_15q11.2-q13.1-BP2-3_DEL_chr15_23465365_28134728	DEL	yes	no	15q11-13	4669363	2	3
chr15	23465365	28134728	GD_15q11.2-q13.1-BP2-3_DUP_chr15_23465365_28134728	DUP	yes	no	15q11-13	4669363	2	3
chr15	22782170	28134728	GD_15q11.2-q13.1-BP1-3_DEL_chr15_22782170_28134728	DEL	yes	no	15q11-13	5352558	1	3
chr15	22782170	28134728	GD_15q11.2-q13.1-BP1-3_DUP_chr15_22782170_28134728	DUP	yes	no	15q11-13	5352558	1	3
chr15	23465365	30076787	GD_15q11.2-q13.2-BP2-4_DEL_chr15_23465365_30076787	DEL	yes	no	15q11-13	6611422	2	4
chr15	23465365	30076787	GD_15q11.2-q13.2-BP2-4_DUP_chr15_23465365_30076787	DUP	yes	no	15q11-13	6611422	2	4
chr15	22782170	30076787	GD_15q11.2-q13.2-BP1-4_DEL_chr15_22782170_30076787	DEL	yes	no	15q11-13	7294617	1	4
chr15	22782170	30076787	GD_15q11.2-q13.2-BP1-4_DUP_chr15_22782170_30076787	DUP	yes	no	15q11-13	7294617	1	4
chr15	23465365	32153204	GD_15q11.2-q13.3-BP2-5_DEL_chr15_23465365_32153204	DEL	yes	no	15q11-13	8687839	2	5
chr15	23465365	32153204	GD_15q11.2-q13.3-BP2-5_DUP_chr15_23465365_32153204	DUP	yes	no	15q11-13	8687839	2	5
chr15	22782170	32153204	GD_15q11.2-q13.3-BP1-5_DEL_chr15_22782170_32153204	DEL	yes	no	15q11-13	9371034	1	5
chr15	22782170	32153204	GD_15q11.2-q13.3-BP1-5_DUP_chr15_22782170_32153204	DUP	yes	no	15q11-13	9371034	1	5
chr15	75339446	75680568	GD_15q24.2-CD_DEL_chr15_75339446_75680568	DEL	yes	no	15q24	341122	C	D
chr15	75339446	75680568	GD_15q24.2-CD_DUP_chr15_75339446_75680568	DUP	yes	no	15q24	341122	C	D
chr15	74120301	75215971	GD_15q24.1-q24.2-BC_DEL_chr15_74120301_75215971	DEL	yes	no	15q24	1095670	B	C
chr15	74120301	75215971	GD_15q24.1-q24.2-BC_DUP_chr15_74120301_75215971	DUP	yes	no	15q24	1095670	B	C
chr15	72671374	74049681	GD_15q24.1-AB_DEL_chr15_72671374_74049681	DEL	yes	no	15q24	1378307	A	B
chr15	72671374	74049681	GD_15q24.1-AB_DUP_chr15_72671374_74049681	DUP	yes	no	15q24	1378307	A	B
chr15	74120301	75680568	GD_15q24.1-q24.2-BD_DEL_chr15_74120301_75680568	DEL	yes	no	15q24	1560267	B	D
chr15	74120301	75680568	GD_15q24.1-q24.2-BD_DUP_chr15_74120301_75680568	DUP	yes	no	15q24	1560267	B	D
chr15	75717575	77858911	GD_15q24.2-q24.3-DE_DEL_chr15_75717575_77858911	DEL	yes	no	15q24	2141336	D	E
chr15	75717575	77858911	GD_15q24.2-q24.3-DE_DUP_chr15_75717575_77858911	DUP	yes	no	15q24	2141336	D	E
